date,"hour","text","source","username","hashtags"	
2019-06-25,"2:30:00","Na Arábia Saudita, elas só podem estudar, se casar e até sair da prisão com autorização de 'tutor' - em geral o pai… https://t.co/46n3qGmZSs","TweetDeck","G1",""	
2019-06-25,"2:00:00","Apesar do interesse, a maioria dos participantes disse que busca ou recebe informações sobre ciência somente ""de ve… https://t.co/1nrT0HQ7Lz","TweetDeck","G1",""	
2019-06-25,"1:45:00","Advogados identificaram crianças com fome e roupas sujas https://t.co/ws4QAxBI8Y #G1","TweetDeck","G1","G1"	
2019-06-25,"1:30:00","Na Bélgica, o procedimento foi legalizado em 2002 e, em média, é aplicado a seis pessoas por dia https://t.co/AEBWMEDD0x #G1","TweetDeck","G1","G1"	
2019-06-25,"1:15:00","O Brasil foi um dos países mais impactados por essa prática. Leia no blog do Altieres Rohr https://t.co/C1C0yf3A2f #G1","TweetDeck","G1","G1"	
2019-06-25,"1:00:00","Mini Cooper ganha série limitada 60 Years por R$ 171.990 ==&gt	 https://t.co/8IevL5w4iq #G1 https://t.co/9aSLftE8XN","TweetDeck","G1","G1"
2019-06-25,"0:59:39","Americana é encontrada morta em pousada em Paraty https://t.co/iVeZzQ9GdP #G1 https://t.co/dAtXIgmUrW","TweetDeck","G1","G1"	
2019-06-25,"0:45:00","Entenda como Estados Unidos e Irã chegaram à beira de um conflito armado ===&gt	 https://t.co/hueXzP1p8h #G1 https://t.co/EBlhbK36NF","TweetDeck","G1","G1"
2019-06-25,"0:30:00","Dopey - que significa Drogado, em tradução livre - tem sido descrito como o podcast ""que você não ia querer que seu… https://t.co/DWENAvDngK","TweetDeck","G1",""	
2019-06-25,"0:24:57","Veja as dezenas da Quina de São João 🍀🍀🍀https://t.co/PA7gcXhKuI #G1","TweetDeck","G1","G1"	
2019-06-25,"0:23:50","Banda alemã entrou para a programação do @rockinrio 🤘🤘🤘 https://t.co/ntwAk6daFe #G1","TweetDeck","G1","G1"	
2019-06-25,"0:15:00","Doria deu a declaração após ter sido questionado sobre o fato de o presidente Jair Bolsonaro ter dito que há ""99% d… https://t.co/8R0Ky6CEPH","TweetDeck","G1",""	
2019-06-25,"0:00:00","""Queríamos que parecesse um documentário live-action, mesmo que ele seja uma animação"", conta Jon Favreau, diretor… https://t.co/UsT1Y1jKFA","TweetDeck","G1",""	
2019-06-24,"23:45:00","Uma pesquisa de opinião publicada no domingo no jornal ""Mail on Sunday"" aponta que a vantagem de Johnson entre os e… https://t.co/PYVXMVGe8v","TweetDeck","G1",""	
2019-06-24,"23:30:59","Grupo registra espetáculo de baleias jubarte em Arraial do Cabo, RJ	 veja vídeos https://t.co/znoQj8Iuju #G1 https://t.co/4R4ZQtepVC","TweetDeck","G1","G1"
2019-06-24,"23:30:00","Na prática, a agência de marcas e patentes não vai mais impedir registros de marcas por profanidade ou imagens gráf… https://t.co/zATseeSqFM","TweetDeck","G1",""	
2019-06-24,"23:20:48","""Não é uma questão de desejo pessoal. Não é uma questão política, é uma questão econômica. É como tirar o Rock in R… https://t.co/h6t9ULd3rh","TweetDeck","G1",""	
2019-06-24,"23:15:00","Leia no blog da @sandracoh https://t.co/eiAJcPES1E #G1","TweetDeck","G1","G1"	
2019-06-24,"23:11:31","RT @jornalnacional: Supremo Tribunal Federal retira da pauta de terça (25) o julgamento de um pedido de liberdade do ex-presidente Lula. O…","TweetDeck","G1",""	
2019-06-24,"23:00:00","O juiz também determinou que a mulher continue internada em clínica psiquiátrica até o julgamento https://t.co/4zkg6v3p5D #G1","TweetDeck","G1","G1"	
2019-06-24,"22:45:00","""Em 188 anos é um momento único. Histórico e espero que abra precedentes para que ninguém mais, dentro ou fora de q… https://t.co/YD32sWfszr","TweetDeck","G1",""	
2019-06-24,"22:17:31","Presidente havia assinado nova medida provisória depois que o Congresso devolveu à Funai a responsabilidade pelas d… https://t.co/uIy7JmebrD","TweetDeck","G1",""	
2019-06-24,"22:15:00","""Ela sempre quis uma festa da polícia, me pede desde que tinha três anos, mas eu sempre insisto no tema de princesa… https://t.co/w24L9CCWRY","TweetDeck","G1",""	
2019-06-24,"22:00:01","Ex-governador Sérgio Cabral ficará em isolamento por 30 dias por instalação de 'videoteca' em presídio do Rio https://t.co/b4F3deJPQk #G1","TweetDeck","G1","G1"	
2019-06-24,"21:45:00","Equipes da Polícia Militar, Polícia Civil e do Corpo de Bombeiros fazem buscas na região https://t.co/aGxD9Da4ZQ #G1","TweetDeck","G1","G1"	
2019-06-24,"21:41:32","Conhecido como Iuri Sheik, suspeito também é empresário e fechou perfis em redes sociais onde compartilhava fotos c… https://t.co/hddEsJcVKa","TweetDeck","G1",""	
2019-06-24,"21:30:00","No fim de semana, presidente criticou projeto e disse que Congresso quer torná-lo ""uma rainha da Inglaterra"" https://t.co/65oGaF1jxU #G1","TweetDeck","G1","G1"	
2019-06-24,"21:15:00","O miau nosso de cada dia nos dai hoje https://t.co/4nIyl6Tu0x #G1","TweetDeck","G1","G1"	
2019-06-24,"21:00:00","De primeiro de janeiro até agora, foram registrados mais de um milhão de casos com suspeita de dengue no país, o qu… https://t.co/kXSLIRNWvt","TweetDeck","G1",""	
2019-06-24,"20:45:00","Especialistas em bombas disseram ""com quase 100% de certeza"" que se tratava de uma bomba da 2ª Guerra Mundial, prov… https://t.co/zX7M8SEQOz","TweetDeck","G1",""	
2019-06-24,"20:30:00","Mulher morre após ser jogada de apartamento e companheiro é preso em flagrante por feminicídio https://t.co/lCtHikM4iF #G1","TweetDeck","G1","G1"	
2019-06-24,"20:15:00","O Ministério da Saúde autorizou formalmente que o SUS realize procedimentos médicos relativos à redesignação sexual… https://t.co/b2wIJuWMR7","TweetDeck","G1",""	
2019-06-24,"20:00:00","""Eu não suporto mais a dor, não consigo dormir à noite, pedi aos médicos que cortem minhas mãos para pelo menos res… https://t.co/VoCzgNFYNb","TweetDeck","G1",""	
2019-06-24,"19:53:39","Presidente afirmou que o contrato com evento com São Paulo vence no ano que vem e 'seria isso ou a saída do Brasil'… https://t.co/GORFB8Y5H2","TweetDeck","G1",""	
2019-06-24,"19:15:00","Bill Gates afirmou que ocupar o mercado do Android teria feito Microsoft ganhar US$ 400 bilhões https://t.co/dBJMwXf5eY #G1","TweetDeck","G1","G1"	
2019-06-24,"19:00:00","Aviões de guerra caem após colidir na Alemanha	 um piloto morreu https://t.co/uIXZizlQ6s #G1","TweetDeck","G1","G1"
2019-06-24,"18:40:46","STF adia julgamento sobre pedido para soltar Lula	 na ação, defesa do ex-presidente alega que Moro agiu de forma pa… https://t.co/eWjqeJVHBN","TweetDeck","G1",""
2019-06-24,"18:30:00","Avião militar da Rússia pousa na Venezuela, segundo agência https://t.co/gbs5lwnqRj #G1","TweetDeck","G1","G1"	
2019-06-24,"18:15:00","No depoimento, marido de Carol Bittencourt confirmou que ambos não usavam equipamentos de segurança quando vendaval… https://t.co/6rIqCuIeL7","TweetDeck","G1",""	
2019-06-24,"18:09:33","Filho de Huck e Angélica deixa UTI e é levado para o quarto após acidente https://t.co/FE0lCA4hbA #G1","TweetDeck","G1","G1"	
2019-06-24,"18:00:01","""A Hope nasceu de uma gestação planejada. O canil cruzou a fêmea mais dócil com o macho mais dócil e selecionamos o… https://t.co/zDMrSZRR6I","TweetDeck","G1",""	
2019-06-24,"17:45:00","A investigação tratou da instalação de uma “videoteca”, que contava com a instalação de uma televisão de 65 polegad… https://t.co/jiG9en7vhp","TweetDeck","G1",""	
2019-06-24,"17:30:00","Cansados de esperar pela prefeitura, moradores se juntam para construir ponto de ônibus em Palmas ==&gt	… https://t.co/CYwZuzMYg0","TweetDeck","G1",""
2019-06-24,"17:15:00","Comissão de Anistia julgará 98 pedidos de indenização nesta semana, incluindo o de Dilma ==&gt	… https://t.co/FR4zoMbc0X","TweetDeck","G1",""
2019-06-24,"17:08:01","Ministério da Agricultura aprova registro de mais 42 agrotóxicos, totalizando 211 no ano https://t.co/fp3Wol8U0R #G1","TweetDeck","G1","G1"	
2019-06-24,"17:00:01","Você já foi se despedir da saga de Woody? https://t.co/yLJa7Hzrbo #G1","TweetDeck","G1","G1"	
2019-06-24,"16:52:33","RT @fatooufake: Livro é um dicionário alemão-inglês usado por artista plástica em experimento de cristalização https://t.co/OtMHQsasMx #Fat…","TweetDeck","G1",""	
2019-06-24,"16:45:00","Trump também anunciou que vai impor novas sanções contra Teerã, sem especificar quais https://t.co/3FJwue1y46 #G1","TweetDeck","G1","G1"	
2019-06-24,"16:30:00","Antes de morrer, ela afirmou que seu companheiro havia cometido o crime, segundo a polícia https://t.co/OMyf8jeX35 #G1","TweetDeck","G1","G1"	
2019-06-24,"16:23:08","Ex-governador Sérgio Cabral ficará em isolamento por 30 dias por instalação de 'videoteca' em presídio do Rio https://t.co/iqxE1JehXG #G1","TweetDeck","G1","G1"	
2019-06-24,"16:15:00","O idoso foi dado como desaparecido depois de sair de casa, em Goiânia, para receber uma dívida https://t.co/iDKEjiYSRp #G1","TweetDeck","G1","G1"	
2019-06-24,"16:00:02","O objetivo é aumentar o conhecimento sobre ele e seus ""efeitos dinâmicos no espaço"" ao seu redor https://t.co/D1DZXLoxkH #G1","TweetDeck","G1","G1"	
2019-06-24,"15:45:00","No dia 18 de junho, nove pessoas foram presas por envolvimento no suposto furto https://t.co/JwUC4Aqaf6 #G1","TweetDeck","G1","G1"	
2019-06-24,"15:30:00","Veja pontos positivos e negativos do evento https://t.co/D2vCBOgKyz #G1","TweetDeck","G1","G1"	
2019-06-24,"15:15:00","""Eu tive que aguentar muito, até que um dia eu decidi que eu não ia mais suportar"" https://t.co/SoKcBa4Aki #G1","TweetDeck","G1","G1"	
2019-06-24,"15:08:00","Responsável pela investigação tenta identificar se houve crime de crueldade contra animais ou descuido na guarda https://t.co/pdcDfyD5AM #G1","TweetDeck","G1","G1"	
2019-06-24,"15:00:01","""Ele é o pai dela, apesar de tudo o que aconteceu, ela o ama e esse contato vai sempre acontecer"" https://t.co/NP4OSy8oxK #G1","TweetDeck","G1","G1"	
2019-06-24,"14:45:00","Dados são do Ministério da Saúde https://t.co/hmFiwcBNJx #G1","TweetDeck","G1","G1"	
2019-06-24,"14:30:00","""A juíza me perguntou duas vezes, porque queria que eu tivesse certeza da responsabilidade que teria pela frente. N… https://t.co/EFddzsEqF3","TweetDeck","G1",""	
2019-06-24,"14:15:00","""Encontrar um meio-termo significa que ambos os lados têm que ceder e fazer concessões, não apenas um lado"" https://t.co/d4HPeQ7wfw #G1","TweetDeck","G1","G1"	
2019-06-24,"14:00:01","Qual é a sua bebida favorita? https://t.co/pTMDmvX8ls #G1","TweetDeck","G1","G1"	
2019-06-24,"13:59:12","RT @showdavida: Vídeo inédito mostra mágico indiano pedindo socorro antes de se afogar. Ilusionista indiano morreu afogado após saltar acor…","TweetDeck","G1",""	
2019-06-24,"13:45:00","A estrutura está em nível máximo de alerta desde março deste ano, segundo classificação da Agência Nacional de Mine… https://t.co/zsBEh7H2sd","TweetDeck","G1",""	
2019-06-24,"13:38:00","O pai de Luiza chegou a receber uma mensagem do número de telefone da jovem pedindo para que a família não se preoc… https://t.co/hKkKdzpUyw","TweetDeck","G1",""	
2019-06-24,"13:30:00","A última vez que Madonna ficou com o primeiro lugar da lista foi em 2012 com o álbum “MDNA” https://t.co/AQ7xuEX7Zx #G1","TweetDeck","G1","G1"	
2019-06-24,"13:15:00","A polícia acredita que ele se desequilibrou, caiu de uma altura de 3 metros e foi atingido na queda por um disparo… https://t.co/qcOvEZqxIP","TweetDeck","G1",""	
2019-06-24,"13:00:01","Desde 2013, o número de pessoas em toda a região que se identifica como ""não religiosa"" subiu de 8% para 13% https://t.co/6RaxyNVPha #G1","TweetDeck","G1","G1"	
2019-06-24,"12:52:00","A polícia paulista também divulgou fotos dos possíveis disfarces que o homem procurado pelos assassinatos possa uti… https://t.co/lqHJuLp2do","TweetDeck","G1",""	
2019-06-24,"12:45:00","Suspeito se apresentou à polícia, mas não foi preso porque não houve flagrante https://t.co/RQ65o8OfUA #G1","TweetDeck","G1","G1"	
2019-06-24,"12:30:00","""Pessoas desejando o meu mal, isso é complicado. Usando a religião para perpetuar preconceito, ser agressiva. É imp… https://t.co/b61NE7U1Fr","TweetDeck","G1",""	
2019-06-24,"12:15:00","Testemunhas dizem que condutor, que é cabo do Exército, estava alcoolizado https://t.co/nlq9ejlD3y #G1","TweetDeck","G1","G1"	
2019-06-24,"12:00:01","Imagina o susto! https://t.co/fEesxz4xQf #G1","TweetDeck","G1","G1"	
2019-06-24,"11:45:00","""O aumento do preço do bitcoin se deve principalmente ao renovado interesse global pelas criptomoedas e pela tecnol… https://t.co/2HSnPzzTsN","TweetDeck","G1",""	
2019-06-24,"11:30:00","Mulher foi baleada com seis tiros https://t.co/CFHB7DogMa #G1","TweetDeck","G1","G1"	
2019-06-24,"11:15:00","Mãe e bebê foram internados na maternidade e passam bem https://t.co/kN0HxonKs8 #G1","TweetDeck","G1","G1"	
2019-06-24,"11:00:00","O pedido de liberdade, apresentado em 2018, é um habeas corpus em que a defesa de Lula aponta a suspeição do ex-jui… https://t.co/RSq176OjKX","TweetDeck","G1",""	
2019-06-24,"10:45:00","Em declaração postada em uma rede social no último domingo (23), ela afirmou que não acredita na participação dos f… https://t.co/N7Y315YxRn","TweetDeck","G1",""	
2019-06-24,"10:30:00","Leia no blog da @AndreiaSadi: https://t.co/7sgNVwLChs #G1","TweetDeck","G1","G1"	
2019-06-24,"2:59:00","Temperaturas podem superar os 40°C na Espanha e na Alemanha https://t.co/MJjFtR3sHl #G1","TweetDeck","G1","G1"	
2019-06-24,"2:30:00","Foragido por homicídio, homem é preso após ser identificado em portal de reconhecimento facial no entorno da Arena… https://t.co/a4akHR4dTK","TweetDeck","G1",""	
2019-06-24,"2:00:00","Policial militar é morto quando prendia ladrão na Zona Sul de SP https://t.co/ehgfkNo9a9 #G1","TweetDeck","G1","G1"	
2019-06-24,"1:30:00","Festa de aniversário termina com morte e duas casas incendiadas em Bocaiúva do Sul, diz polícia https://t.co/IGkCmWGHkc #G1","TweetDeck","G1","G1"	
2019-06-24,"1:00:00","Filho que levou tiro ao discutir sobre dívida de R$ 2 milhões foge com bala alojada no peito, diz hospital em MS https://t.co/lXUfFZt3T1 #G1","TweetDeck","G1","G1"	
2019-06-24,"0:54:06","Luciano Huck sobre recuperação do filho Benício: 'Um passinho de cada vez' https://t.co/AwmxPU9lbW #G1","TweetDeck","G1","G1"	
2019-06-24,"0:30:00","Piscininha, amor? https://t.co/keEZtsyHFC #G1","TweetDeck","G1","G1"	
2019-06-24,"0:15:00","Ataque cibernético dos EUA desativou computadores militares do Irã, diz imprensa norte-americana https://t.co/TFdgmH2MMh #G1","TweetDeck","G1","G1"	
2019-06-24,"0:00:00","Categoria inclui barras de cereal, cereais matinais, sucos prontos, pães de forma integrais, peito de peru... https://t.co/JI0C6NBWg8 #G1","TweetDeck","G1","G1"	
2019-06-23,"23:30:00","'Confissões não são suficientes para condenar', diz Flordelis sobre participação de filhos na morte do marido https://t.co/7ZVCNwh1dg #G1","TweetDeck","G1","G1"	
2019-06-23,"23:12:00","Acidente deixa 4 mortos, sendo duas crianças, na Rodovia SP-342 em Águas da Prata https://t.co/xG0zH4BhK0 #G1","TweetDeck","G1","G1"	
2019-06-23,"23:00:00","Nossa sociedade moderna depende de cadeias de distribuição alimentar complexas e modernas. O que aconteceria se ela… https://t.co/HxfS5nSNxw","TweetDeck","G1",""	
2019-06-23,"22:30:00","Filho de Huck e Angélica passa por neurocirurgia após sofrer traumatismo	 estado de saúde é estável, diz hospital… https://t.co/TJmX9Ai8WN","TweetDeck","G1",""
2019-06-23,"22:17:42","Passageira relata que foi esquecida dentro de avião em Toronto, no Canadá https://t.co/D2WG2FWIH0 #G1","TweetDeck","G1","G1"	
2019-06-23,"22:00:00","Poste cai em cima de homem em Cabo Frio, no RJ https://t.co/h5NYF123Q3 #G1","TweetDeck","G1","G1"	
2019-06-23,"21:45:00","Homem é preso suspeito de matar dono de oficina de motos e filmar crime, em Rialma (GO) https://t.co/iiEMyTkQ1o #G1","TweetDeck","G1","G1"	
2019-06-23,"21:40:54","RT @globoesportecom: Brasil leva gol de Henry na prorrogação e acaba eliminado na Copa do Mundo Feminina https://t.co/m5kbPULJjt https://t.…","TweetDeck","G1",""	
2019-06-23,"21:30:00","Premiê é acusado de fraudar fundos da União Europeia e de nomear ministra da Justiça que dificultaria processo cont… https://t.co/iDSzi1n5e3","TweetDeck","G1",""	
2019-06-23,"20:59:00","Delegado mata cachorro com tiro na rua em São Luiz Gonzaga, RS: 'Iria atacar, não tinha o que fazer' https://t.co/EYHzRNKoXl #G1","TweetDeck","G1","G1"	
2019-06-23,"20:45:00","Polícia apreende 8 toneladas de maconha em estrada de Pernambuco	 é a maior apreensão da droga na história do estad… https://t.co/Oe9nu3cYZJ","TweetDeck","G1",""
2019-06-23,"20:30:00","Paulo Ricardo faz post em homenagem ao baterista Paulo P.A. Pagni, da banda RPM, que morreu neste sábado (22) https://t.co/qWPst9TLSe #G1","TweetDeck","G1","G1"	
2019-06-23,"20:15:00","Categoria inclui barras de cereal, cereais matinais, sucos prontos, pães de forma integrais, peito de peru... https://t.co/JI0C6NkkRy #G1","TweetDeck","G1","G1"	
2019-06-23,"20:00:00","Grupo de 61 atletas salta de paraquedas e bate recorde no interior de SP https://t.co/ORM4YzG2D4 #G1 https://t.co/09yslMS49u","TweetDeck","G1","G1"	
